date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:52:22	29600/29600	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-73a0%22	https://static.itch.io/fonts/lato-v14-latin-italic.woff	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/lato-v14-latin-italic.woff	(from https://static.itch.io/game.css?1662925820)
21:52:22	22820/22820	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-5924%22	https://static.itch.io/fonts/lato-v14-latin-700.woff2	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/lato-v14-latin-700.woff2	(from https://static.itch.io/game.css?1662925820)
21:52:22	27848/27848	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-6cc8%22	https://static.itch.io/fonts/lato-v14-latin-700.woff	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/lato-v14-latin-700.woff	(from https://static.itch.io/game.css?1662925820)
21:52:23	22352/22352	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-5750%22	https://static.itch.io/fonts/lato-v14-latin-900.woff2	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/lato-v14-latin-900.woff2	(from https://static.itch.io/game.css?1662925820)
21:52:23	27260/27260	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-6a7c%22	https://static.itch.io/fonts/lato-v14-latin-900.woff	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/lato-v14-latin-900.woff	(from https://static.itch.io/game.css?1662925820)
21:52:24	182708/182708	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-2c9b4%22	https://static.itch.io/fonts/Lato-Regular.woff2	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/Lato-Regular.woff2	(from https://static.itch.io/game.css?1662925820)
21:52:24	309192/309192	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-4b7c8%22	https://static.itch.io/fonts/Lato-Regular.woff	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/Lato-Regular.woff	(from https://static.itch.io/game.css?1662925820)
21:52:25	195704/195704	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-2fc78%22	https://static.itch.io/fonts/Lato-Italic.woff2	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/Lato-Italic.woff2	(from https://static.itch.io/game.css?1662925820)
21:52:25	328412/328412	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-502dc%22	https://static.itch.io/fonts/Lato-Italic.woff	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/Lato-Italic.woff	(from https://static.itch.io/game.css?1662925820)
21:52:26	184912/184912	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-2d250%22	https://static.itch.io/fonts/Lato-Bold.woff2	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/Lato-Bold.woff2	(from https://static.itch.io/game.css?1662925820)
